COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,n
Alameda,49.945205479452056,2022,9.6,(7.7-11.5),9
Amador,36.96703296703294,2022,13.9,(9.8-18.1),2
Butte,52.89589041095889,2022,10.4,(7.3-13.6),18
Calaveras,42.07967032967033,2022,13.9,(9.8-18.1),1
Contra Costa,50.89041095890411,2022,11.1,(8.6-13.6),9
Del Norte,29.89825581395349,2022,9,(3.4-14.6),1
El Dorado,48.69589041095888,2022,10,(6.5-13.6),3
Fresno,75.96164383561643,2022,13.8,(11.3-16.3),9
Glenn,43.99166666666666,2022,11.4,(7.5-15.3),2
Humboldt,26.920547945205474,2022,12.8,(6.7-18.9),7
Imperial,76.95342465753424,2022,11,(7.1-14.9),1
Inyo,75.6849315068493,2022,13.9,(9.8-18.1),3
Kern,87.63287671232881,2022,7.9,(5.1-10.8),41
Los Angeles,85.60273972602735,2022,8.1,(7.4-8.7),20
Madera,59.068493150684915,2022,10.6,(6.7-14.4),3
Marin,39.47945205479451,2022,7.4,(4.8-10),1
Mariposa,60.47397260273977,2022,13.9,(9.8-18.1),5
Mendocino,53.547945205479465,2022,13.9,(9-18.8),5
Merced,59.25753424657534,2022,9.2,(6.3-12.2),3
Monterey,40.4027397260274,2022,6.6,(2.3-11),5
Nevada,59.112328767123316,2022,9.2,(5.8-12.6),8
Orange,54.54246575342465,2022,6.7,(5.5-7.9),3
Placer,63.08767123287669,2022,10.4,(8.2-12.7),13
Riverside,103.66849315068501,2022,8.3,(7-9.6),5
Sacramento,59.8958904109589,2022,12.2,(10.1-14.4),3
San Benito,43.68493150684932,2022,7.1,(4.2-10.1),4
San Bernardino,96.02739726027393,2022,9.9,(8.4-11.3),9
San Diego,68.58356164383561,2022,8.5,(7.5-9.5),27
San Joaquin,54.49589041095887,2022,10.6,(8.3-13),1
San Luis Obispo,56.63561643835616,2022,9,(5.1-12.9),16
San Mateo,39.46849315068493,2022,7.6,(6-9.3),3
Santa Barbara,48.58356164383562,2022,9.8,(7.3-12.4),1
Santa Clara,51.29589041095889,2022,7.4,(6.2-8.6),2
Shasta,49.55616438356166,2022,5.7,(3.5-7.8),5
Siskiyou,44.58839779005524,2022,9,(3.4-14.6),21
Sonoma,37.498630136986286,2022,7.8,(5.3-10.3),3
Stanislaus,63.6986301369863,2022,11.5,(7.9-15),3
Tehama,48.47945205479453,2022,11.4,(7.5-15.3),5
Trinity,42.98583569405098,2022,9,(3.4-14.6),3
Tulare,82.92876712328766,2022,7.2,(4.5-9.8),5
Tuolumne,39.27600000000001,2022,13.9,(9.8-18.1),4
Ventura,55.47123287671235,2022,9.9,(7-12.8),5
